schema_version,entity,organism,source,version
4.0.0,CellType,all,cl,2023-08-24
4.0.0,ExperimentalFactor,all,efo,3.57.0
4.0.0,Ethnicity,human,hancestro,3.0
4.0.0,DevelopmentalStage,human,hsapdv,2020-03-10
4.0.0,DevelopmentalStage,mouse,mmusdv,2020-03-10
4.0.0,Disease,all,mondo,2023-08-02
4.0.0,Organism,all,ncbitaxon,2023-06-20
4.0.0,Phenotype,all,pato,2023-05-18
4.0.0,Tissue,all,uberon,2023-09-05
5.0.0,CellType,all,cl,2024-01-04
5.0.0,ExperimentalFactor,all,efo,3.62.0
5.0.0,Ethnicity,human,hancestro,3.0
5.0.0,DevelopmentalStage,human,hsapdv,2020-03-10
5.0.0,DevelopmentalStage,mouse,mmusdv,2020-03-10
5.0.0,Disease,all,mondo,2024-01-03
5.0.0,Organism,all,ncbitaxon,2023-06-20
5.0.0,Phenotype,all,pato,2023-05-18
5.0.0,Tissue,all,uberon,2024-01-18
5.0.0,Gene,human,ensembl,release-110
5.0.0,Gene,mouse,ensembl,release-110
5.1.0,CellType,all,cl,2024-04-05
5.1.0,ExperimentalFactor,all,efo,3.65.0
5.1.0,Ethnicity,human,hancestro,3.0
5.1.0,DevelopmentalStage,human,hsapdv,2020-03-10
5.1.0,DevelopmentalStage,mouse,mmusdv,2020-03-10
5.1.0,Disease,all,mondo,2024-05-08
5.1.0,Organism,all,ncbitaxon,2023-06-20
5.1.0,Phenotype,all,pato,2023-05-18
5.1.0,Tissue,all,uberon,2024-03-22
5.1.0,Gene,human,ensembl,release-110
5.1.0,Gene,mouse,ensembl,release-110
5.2.0,CellType,all,cl,2024-08-16
5.2.0,ExperimentalFactor,all,efo,3.69.0
5.2.0,Ethnicity,human,hancestro,3.0
5.2.0,DevelopmentalStage,human,hsapdv,2024-05-28
5.2.0,DevelopmentalStage,mouse,mmusdv,2024-05-28
5.2.0,Disease,all,mondo,2024-08-06
5.2.0,Organism,all,ncbitaxon,2023-06-20
5.2.0,Phenotype,all,pato,2023-05-18
5.2.0,Tissue,all,uberon,2024-08-07
5.2.0,Gene,human,ensembl,release-110
5.2.0,Gene,mouse,ensembl,release-110
